/usr/bin/gcc -std=gnu99 -Wall -fPIC -pthread -O2 -c *.c
/usr/bin/gcc -shared -Wl,-soname,libGSDDict.so.1 -o libGSDDict.so.1.0 *.o
ln -sf libGSDDict.so.1.0 libGSDDict.so.1
ln -sd libGSDDict.so.1.0 libGSDDict.so
/usr/bin/gcc -std=gnu99 -Wall -fPIC -pthread -O2 -I. -L. test/performance.c -lGSDDict -lpthread -lrt -operformance.run
LD_LIBRARY_PATH="." ./performance.run
Type, Max Epochs, Threads, Slots, Max Imbalance, Operations, Time, Rebalanced, Used Epochs
INSERT, 16, 2, 512, 64, 200000, 2:220226354, 1536, 3
LOOKUP, 16, 2, 512, 64, 200000, 0:196190774, 1536, 3
INSERT, 16, 2, 512, 128, 200000, 2:433525976, 512, 3
LOOKUP, 16, 2, 512, 128, 200000, 0:368674666, 512, 3
INSERT, 16, 2, 512, 256, 200000, 6:472414170, 27023, 16
LOOKUP, 16, 2, 512, 256, 200000, 0:165741527, 27023, 16
INSERT, 16, 2, 512, 512, 200000, 6:468068570, 27504, 16
LOOKUP, 16, 2, 512, 512, 200000, 0:167512906, 27504, 16
INSERT, 16, 4, 8, 8, 200000, 156:854371998, 6096, 16
LOOKUP, 16, 4, 8, 8, 200000, 0:179574607, 6096, 16
INSERT, 16, 4, 8, 16, 200000, 81:616010028, 3092, 16
LOOKUP, 16, 4, 8, 16, 200000, 0:189637589, 3092, 16
INSERT, 16, 4, 8, 32, 200000, 44:638364439, 1527, 10
LOOKUP, 16, 4, 8, 32, 200000, 0:203375200, 1527, 10
INSERT, 16, 4, 8, 64, 200000, 23:743641386, 769, 8
LOOKUP, 16, 4, 8, 64, 200000, 0:181130199, 769, 8
INSERT, 16, 4, 8, 128, 200000, 13:477387597, 388, 5
LOOKUP, 16, 4, 8, 128, 200000, 0:196645392, 388, 5
INSERT, 16, 4, 8, 256, 200000, 392:254270646, 16286, 16
LOOKUP, 16, 4, 8, 256, 200000, 0:194827168, 16286, 16
INSERT, 16, 4, 8, 512, 200000, 387:834357874, 16209, 16
LOOKUP, 16, 4, 8, 512, 200000, 0:197686564, 16209, 16
INSERT, 16, 4, 16, 8, 200000, 81:667418233, 6542, 16
LOOKUP, 16, 4, 16, 8, 200000, 0:215177224, 6542, 16
INSERT, 16, 4, 16, 16, 200000, 44:377060316, 3341, 16
LOOKUP, 16, 4, 16, 16, 200000, 0:221499161, 3341, 16
INSERT, 16, 4, 16, 32, 200000, 23:852757217, 1614, 11
LOOKUP, 16, 4, 16, 32, 200000, 0:221926114, 1614, 11
INSERT, 16, 4, 16, 64, 200000, 12:516940975, 805, 9
LOOKUP, 16, 4, 16, 64, 200000, 0:192652189, 805, 9
INSERT, 16, 4, 16, 128, 200000, 7:625445031, 399, 7
LOOKUP, 16, 4, 16, 128, 200000, 0:208863500, 399, 7
INSERT, 16, 4, 16, 256, 200000, 192:73472625, 16638, 16
LOOKUP, 16, 4, 16, 256, 200000, 0:226284497, 16638, 16
INSERT, 16, 4, 16, 512, 200000, 193:557478237, 16757, 16
LOOKUP, 16, 4, 16, 512, 200000, 0:195410812, 16757, 16
INSERT, 16, 4, 32, 8, 200000, 39:630406452, 6968, 16
LOOKUP, 16, 4, 32, 8, 200000, 0:234534307, 6968, 16
INSERT, 16, 4, 32, 16, 200000, 21:236996000, 3580, 16
LOOKUP, 16, 4, 32, 16, 200000, 0:209778210, 3580, 16
INSERT, 16, 4, 32, 32, 200000, 11:82461662, 1688, 16
LOOKUP, 16, 4, 32, 32, 200000, 0:203131350, 1688, 16
INSERT, 16, 4, 32, 64, 200000, 6:298044652, 798, 16
LOOKUP, 16, 4, 32, 64, 200000, 0:204302707, 798, 16
INSERT, 16, 4, 32, 128, 200000, 4:353330144, 417, 16
LOOKUP, 16, 4, 32, 128, 200000, 0:197704004, 417, 16
INSERT, 16, 4, 32, 256, 200000, 87:340523354, 16325, 16
LOOKUP, 16, 4, 32, 256, 200000, 0:200811892, 16325, 16
INSERT, 16, 4, 32, 512, 200000, 88:133694985, 16868, 16
LOOKUP, 16, 4, 32, 512, 200000, 0:229213714, 16868, 16
INSERT, 16, 4, 64, 8, 200000, 16:711986690, 6963, 16
LOOKUP, 16, 4, 64, 8, 200000, 0:218307082, 6963, 16
INSERT, 16, 4, 64, 16, 200000, 9:494267264, 3532, 16
LOOKUP, 16, 4, 64, 16, 200000, 0:217170635, 3532, 16
INSERT, 16, 4, 64, 32, 200000, 5:488101996, 1728, 16
LOOKUP, 16, 4, 64, 32, 200000, 0:204522005, 1728, 16
INSERT, 16, 4, 64, 64, 200000, 3:897158133, 924, 16
LOOKUP, 16, 4, 64, 64, 200000, 0:211130671, 924, 16
INSERT, 16, 4, 64, 128, 200000, 3:26328362, 384, 16
LOOKUP, 16, 4, 64, 128, 200000, 0:244338651, 384, 16
INSERT, 16, 4, 64, 256, 200000, 36:870139424, 15410, 16
LOOKUP, 16, 4, 64, 256, 200000, 0:222487384, 15410, 16
INSERT, 16, 4, 64, 512, 200000, 37:32212246, 15858, 16
LOOKUP, 16, 4, 64, 512, 200000, 0:218013927, 15858, 16
INSERT, 16, 4, 128, 8, 200000, 7:716402369, 6657, 16
LOOKUP, 16, 4, 128, 8, 200000, 0:210815751, 6657, 16
INSERT, 16, 4, 128, 16, 200000, 4:746387618, 3274, 16
LOOKUP, 16, 4, 128, 16, 200000, 0:201045319, 3274, 16
INSERT, 16, 4, 128, 32, 200000, 3:307183698, 1664, 16
LOOKUP, 16, 4, 128, 32, 200000, 0:205502872, 1664, 16
INSERT, 16, 4, 128, 64, 200000, 2:763678845, 920, 10
LOOKUP, 16, 4, 128, 64, 200000, 0:225763600, 920, 10
INSERT, 16, 4, 128, 128, 200000, 2:758373516, 441, 16
LOOKUP, 16, 4, 128, 128, 200000, 0:276864171, 441, 16
INSERT, 16, 4, 128, 256, 200000, 17:266043505, 15811, 16
LOOKUP, 16, 4, 128, 256, 200000, 0:214311930, 15811, 16
INSERT, 16, 4, 128, 512, 200000, 17:172404389, 15390, 16
LOOKUP, 16, 4, 128, 512, 200000, 0:205048582, 15390, 16
INSERT, 16, 4, 256, 8, 200000, 5:137141427, 7713, 16
LOOKUP, 16, 4, 256, 8, 200000, 0:199453655, 7713, 16
INSERT, 16, 4, 256, 16, 200000, 3:78144996, 3838, 16
LOOKUP, 16, 4, 256, 16, 200000, 0:201298661, 3838, 16
INSERT, 16, 4, 256, 32, 200000, 2:520148630, 1536, 16
LOOKUP, 16, 4, 256, 32, 200000, 0:205436237, 1536, 16
INSERT, 16, 4, 256, 64, 200000, 2:372549193, 768, 16
LOOKUP, 16, 4, 256, 64, 200000, 0:235532368, 768, 16
INSERT, 16, 4, 256, 128, 200000, 2:469348841, 256, 11
LOOKUP, 16, 4, 256, 128, 200000, 0:615972774, 256, 11
INSERT, 16, 4, 256, 256, 200000, 8:748155910, 15981, 16
LOOKUP, 16, 4, 256, 256, 200000, 0:205272254, 15981, 16
INSERT, 16, 4, 256, 512, 200000, 9:21915961, 18484, 16
LOOKUP, 16, 4, 256, 512, 200000, 0:204220970, 18484, 16
INSERT, 16, 4, 512, 8, 200000, 3:203383329, 7841, 16
LOOKUP, 16, 4, 512, 8, 200000, 0:211572033, 7841, 16
